time window size,time step size Mass-Left,time step size Mass-Right
0.2,0.0499999999999999,0.0499999999999999
0.2,0.0499999999999999,0.025
0.2,0.0499999999999999,0.0124999999999999
0.2,0.0499999999999999,0.0062499999999999
0.2,0.0499999999999999,0.003125
0.2,0.0499999999999999,0.0015625
0.2,0.0499999999999999,0.0007812499999999
0.2,0.0499999999999999,0.0003906249999999
0.2,0.0499999999999999,0.0001953125
0.2,0.0499999999999999,9.765625000001566e-05
0.1,0.025,0.025
0.1,0.025,0.0124999999999999
0.1,0.025,0.0062499999999999
0.1,0.025,0.003125
0.1,0.025,0.0015625
0.1,0.025,0.0007812499999999
0.1,0.025,0.0003906249999999
0.1,0.025,0.0001953125
0.1,0.025,9.765625000001566e-05
0.1,0.025,4.882812499998171e-05
0.0666666666666666,0.0166666666666666,0.0166666666666666
0.0666666666666666,0.0166666666666666,0.0083333333333333
0.0666666666666666,0.0166666666666666,0.0041666666666666
0.0666666666666666,0.0166666666666666,0.0020833333333333
0.0666666666666666,0.0166666666666666,0.0010416666666666
0.0666666666666666,0.0166666666666666,0.0005208333333333
0.0666666666666666,0.0166666666666666,0.0002604166666666
0.0666666666666666,0.0166666666666666,0.0001302083333333
0.0666666666666666,0.0166666666666666,6.510416666669099e-05
0.0666666666666666,0.0166666666666666,3.2552083333324625e-05
0.05,0.0124999999999999,0.0124999999999999
0.05,0.0124999999999999,0.0062499999999999
0.05,0.0124999999999999,0.003125
0.05,0.0124999999999999,0.0015625
0.05,0.0124999999999999,0.0007812499999999
0.05,0.0124999999999999,0.0003906249999999
0.05,0.0124999999999999,0.0001953125
0.05,0.0124999999999999,9.765625000001566e-05
0.05,0.0124999999999999,4.882812499998176e-05
0.05,0.0124999999999999,2.4414062499984348e-05
0.04,0.01,0.01
0.04,0.01,0.005
0.04,0.01,0.0024999999999999
0.04,0.01,0.0012499999999999
0.04,0.01,0.0006249999999999
0.04,0.01,0.0003125
0.04,0.01,0.0001562499999999
0.04,0.01,7.812500000001746e-05
0.04,0.01,3.9062499999986645e-05
0.04,0.01,1.953124999998777e-05
0.0333333333333333,0.0083333333333333,0.0083333333333333
0.0333333333333333,0.0083333333333333,0.0041666666666666
0.0333333333333333,0.0083333333333333,0.0020833333333333
0.0333333333333333,0.0083333333333333,0.0010416666666666
0.0333333333333333,0.0083333333333333,0.0005208333333333
0.0333333333333333,0.0083333333333333,0.0002604166666666
0.0333333333333333,0.0083333333333333,0.0001302083333333
0.0333333333333333,0.0083333333333333,6.510416666669094e-05
0.0333333333333333,0.0083333333333333,3.255208333332461e-05
0.0333333333333333,0.0083333333333333,1.6276041666657088e-05
0.0285714285714285,0.0071428571428571,0.0071428571428571
0.0285714285714285,0.0071428571428571,0.0035714285714285
0.0285714285714285,0.0071428571428571,0.0017857142857142
0.0285714285714285,0.0071428571428571,0.0008928571428571
0.0285714285714285,0.0071428571428571,0.0004464285714285
0.0285714285714285,0.0071428571428571,0.0002232142857142
0.0285714285714285,0.0071428571428571,0.0001116071428571
0.0285714285714285,0.0071428571428571,5.580357142855866e-05
0.0285714285714285,0.0071428571428571,2.7901785714301563e-05
0.0285714285714285,0.0071428571428571,1.3950892857156331e-05
0.025,0.0062499999999999,0.0062499999999999
0.025,0.0062499999999999,0.003125
0.025,0.0062499999999999,0.0015625
0.025,0.0062499999999999,0.0007812499999999
0.025,0.0062499999999999,0.0003906249999999
0.025,0.0062499999999999,0.0001953125
0.025,0.0062499999999999,9.765625000001566e-05
0.025,0.0062499999999999,4.8828124999981815e-05
0.025,0.0062499999999999,2.441406249998433e-05
0.025,0.0062499999999999,1.220703125001829e-05
0.0222222222222222,0.0055555555555555,0.0055555555555555
0.0222222222222222,0.0055555555555555,0.0027777777777777
0.0222222222222222,0.0055555555555555,0.0013888888888888
0.0222222222222222,0.0055555555555555,0.0006944444444444
0.0222222222222222,0.0055555555555555,0.0003472222222222
0.0222222222222222,0.0055555555555555,0.0001736111111111
0.0222222222222222,0.0055555555555555,8.680555555553978e-05
0.0222222222222222,0.0055555555555555,4.340277777779106e-05
0.0222222222222222,0.0055555555555555,2.170138888890083e-05
0.0222222222222222,0.0055555555555555,1.0850694444424014e-05
0.02,0.005,0.005
0.02,0.005,0.0024999999999999
0.02,0.005,0.0012499999999999
0.02,0.005,0.0006249999999999
0.02,0.005,0.0003125
0.02,0.005,0.0001562499999999
0.02,0.005,7.812500000001748e-05
0.02,0.005,3.90624999999866e-05
0.02,0.005,1.9531249999987776e-05
0.0166666666666666,0.0041666666666666,0.0041666666666666
0.0166666666666666,0.0041666666666666,0.0020833333333333
0.0166666666666666,0.0041666666666666,0.0010416666666666
0.0166666666666666,0.0041666666666666,0.0005208333333333
0.0166666666666666,0.0041666666666666,0.0002604166666666
0.0166666666666666,0.0041666666666666,0.0001302083333333
0.0166666666666666,0.0041666666666666,6.510416666669103e-05
0.0166666666666666,0.0041666666666666,3.255208333332471e-05
0.0166666666666666,0.0041666666666666,1.627604166665714e-05
0.0142857142857142,0.0035714285714285,0.0035714285714285
0.0142857142857142,0.0035714285714285,0.0017857142857142
0.0142857142857142,0.0035714285714285,0.0008928571428571
0.0142857142857142,0.0035714285714285,0.0004464285714285
0.0142857142857142,0.0035714285714285,0.0002232142857142
0.0142857142857142,0.0035714285714285,0.0001116071428571
0.0142857142857142,0.0035714285714285,5.580357142855866e-05
0.0142857142857142,0.0035714285714285,2.7901785714301445e-05
0.0142857142857142,0.0035714285714285,1.3950892857156282e-05
0.0125,0.003125,0.003125
0.0125,0.003125,0.0015625
0.0125,0.003125,0.0007812499999999
0.0125,0.003125,0.0003906249999999
0.0125,0.003125,0.0001953125
0.0125,0.003125,9.765625000001528e-05
0.0125,0.003125,4.882812499998171e-05
0.0125,0.003125,2.4414062499984355e-05
0.0125,0.003125,1.2207031250018234e-05
0.01,0.0024999999999999,0.0024999999999999
0.01,0.0024999999999999,0.0012499999999999
0.01,0.0024999999999999,0.0006249999999999
0.01,0.0024999999999999,0.0003125
0.01,0.0024999999999999,0.0001562499999999
0.01,0.0024999999999999,7.812500000001742e-05
0.01,0.0024999999999999,3.90624999999866e-05
0.01,0.0024999999999999,1.953124999998777e-05
0.008,0.002,0.002
0.008,0.002,0.001
0.008,0.002,0.0004999999999999
0.008,0.002,0.0002499999999999
0.008,0.002,0.000125
0.008,0.002,6.249999999998661e-05
0.008,0.002,3.125000000001575e-05
0.008,0.002,1.5624999999985736e-05
0.00625,0.0015625,0.0015625
0.00625,0.0015625,0.00078125
0.00625,0.0015625,0.000390625
0.00625,0.0015625,0.0001953125
0.00625,0.0015625,9.765625e-05
0.00625,0.0015625,4.8828125e-05
0.00625,0.0015625,2.44140625e-05
0.00625,0.0015625,1.220703125e-05
0.0066666666666666,0.0016666666666666,0.0016666666666666
0.0066666666666666,0.0016666666666666,0.0008333333333333
0.0066666666666666,0.0016666666666666,0.0004166666666666
0.0066666666666666,0.0016666666666666,0.0002083333333333
0.0066666666666666,0.0016666666666666,0.0001041666666666
0.0066666666666666,0.0016666666666666,5.20833333333128e-05
0.0066666666666666,0.0016666666666666,2.6041666666649792e-05
0.0066666666666666,0.0016666666666666,1.3020833333323144e-05
0.005,0.0012499999999999,0.0012499999999999
0.005,0.0012499999999999,0.0006249999999999
0.005,0.0012499999999999,0.0003125
0.005,0.0012499999999999,0.0001562499999999
0.005,0.0012499999999999,7.812500000001742e-05
0.005,0.0012499999999999,3.90624999999866e-05
0.005,0.0012499999999999,1.953124999998777e-05
0.004,0.001,0.001
0.004,0.001,0.0004999999999999
0.004,0.001,0.0002499999999999
0.004,0.001,0.000125
0.004,0.001,6.24999999999866e-05
0.004,0.001,3.1250000000015735e-05
0.004,0.001,1.5624999999985726e-05
0.0033333333333333,0.0008333333333333,0.0008333333333333
0.0033333333333333,0.0008333333333333,0.0004166666666666
0.0033333333333333,0.0008333333333333,0.0002083333333333
0.0033333333333333,0.0008333333333333,0.0001041666666666
0.0033333333333333,0.0008333333333333,5.208333333331233e-05
0.0033333333333333,0.0008333333333333,2.604166666664969e-05
0.0033333333333333,0.0008333333333333,1.3020833333323192e-05
0.0028571428571428,0.0007142857142857,0.0007142857142857
0.0028571428571428,0.0007142857142857,0.0003571428571428
0.0028571428571428,0.0007142857142857,0.0001785714285714
0.0028571428571428,0.0007142857142857,8.92857142857032e-05
0.0028571428571428,0.0007142857142857,4.46428571428734e-05
0.0028571428571428,0.0007142857142857,2.23214285714149e-05
0.0028571428571428,0.0007142857142857,1.1160714285729497e-05
0.0025,0.0006249999999999,0.0006249999999999
0.0025,0.0006249999999999,0.0003125
0.0025,0.0006249999999999,0.0001562499999999
0.0025,0.0006249999999999,7.81250000000157e-05
0.0025,0.0006249999999999,3.90624999999866e-05
0.0025,0.0006249999999999,1.953124999998777e-05
0.0022222222222222,0.0005555555555555,0.0005555555555555
0.0022222222222222,0.0005555555555555,0.0002777777777777
0.0022222222222222,0.0005555555555555,0.0001388888888889
0.0022222222222222,0.0005555555555555,6.944444444445363e-05
0.0022222222222222,0.0005555555555555,3.472222222222722e-05
0.0022222222222222,0.0005555555555555,1.7361111111086388e-05
0.00125,0.0003125,0.0003125
0.00125,0.0003125,0.00015625
0.00125,0.0003125,7.8125e-05
0.00125,0.0003125,3.90625e-05
0.00125,0.0003125,1.953125e-05
0.00125,0.0003125,9.765625e-06
0.00125,0.0003125,4.8828125e-06
0.00125,0.0003125,2.44140625e-06
